operativo|padre|tipoc|tipoc__denominacion|casillero|orden|ok|nombre|tipovar|longitud|tipoe|aclaracion|salto|unidad_analisis|cantidad_resumen|despliegue|ver_id|optativo|orden_total|ultimo_ancestro|formulario_principal|var_name|var_name_especial|expresion_habilitar|valor_ns_nc|valor_sin_dato|leer|calculada|libre|especial
repsic211||F|formulario|F1|10|✔|||||||grupo_personas|||||10|F:F1|true|||||||||
repsic211|F:F1|B|bloque|UG|10|✔|Ubicación geográfica y cantidad de personas|||||||||-||10;10|F:F1||||||||||
repsic211|UG|P|pregunta|U1|100|✔|Recorrido|numero|2||||||calculada|-||10;10;100|F:F1||u1||||||||
repsic211|UG|P|pregunta|U2|110|✔|Tipo|numero|1||||||calculada|-||10;10;110|F:F1||u2||||||||
repsic211|UG|P|pregunta|U3|120|✔|Comuna|numero|2||||||calculada|-||10;10;120|F:F1||u3||||||||
repsic211|UG|P|pregunta|U4|130|✔|Barrio|texto|medio||||||calculada|-||10;10;130|F:F1||u4||||||||
repsic211|UG|P|pregunta|Lugar_nombre|134|✔|Nombre del hospital/terminal|texto|medio|||||||-|true|10;10;134|F:F1||lugar_nombre||||||||
repsic211|UG|P|pregunta|Lugar_codigo|136|✔|Código lugar|numero|4|||||||-|true|10;10;136|F:F1||lugar_codigo||||||||
repsic211|UG|P|pregunta|U5|140|✔|Calle|texto|medio|||||||-||10;10;140|F:F1||u5||||||||
repsic211|UG|P|pregunta|U6|150|✔|Nº|numero|5|||||||-|true|10;10;150|F:F1||u6||||||||
repsic211|UG|P|pregunta|U7|160|✔|Intersección|texto|medio|||||||-|true|10;10;160|F:F1||u7||||||||
repsic211|UG|CONS|consistencia|u6_o_u7|170|⛔|debe informar el número o la intersección|||||||||incompleto||10;10;170|F:F1||||||||||
repsic211|UG|P|pregunta|U8|180|✔|Cantidad de personas|numero|3|||||||-||10;10;180|F:F1||u8||||||||
repsic211|F:F1|B|bloque|DatRev|20|✔|Datos del relevador|||||||||-||10;20|F:F1||||||||||
repsic211|DatRev|P|pregunta|U21|1|✔|Código del relevador|numero|5||||||calculada|-||10;20;1|F:F1||u21||||||||
repsic211|DatRev|P|pregunta|U22|2|✔|Nombre y apellido|texto|medio|||||||-||10;20;2|F:F1||u22||||||||
repsic211|F:F1|B|bloque|CG|30|✔|Características generales||||Complete por observación|||||-||10;30|F:F1||||||||||
repsic211|CG|PMATRIZ|pregunta en forma de matriz|O1|30|✔|Cantidad de personas|||||||||||10;30;30|F:F1||||||||||
